Rank,Movie,Release_Date,Distributor,Genre,MPAA,2008_Gross,Tickets_Sold,Inflation_Adjusted_Gross
463,Harvard Beats Yale,11/19/2008,Kino/Emerging,Documentary,Not Rated,63973,8910,63974
464,Lions for Lambs,11/9/2007,United Artists,Drama/Musical,R,62708,8734,62710
465,Summer Palace,1/18/2008,Palm Pictures,Drama/Musical,Not Rated,62707,8734,62710
466,Bloodline,5/9/2008,Cinema Libre,Documentary,R,62248,8670,62251
467,Alice's House,1/25/2008,Vitagraph Films,Drama/Musical,Not Rated,61678,8590,61676
468,Deal,4/25/2008,MGM,Drama/Musical,PG-13,61626,8583,61626
469,Romance and Cigarettes,9/7/2007,Borotoro,Comedy,R,60905,8483,60908
470,Mister Foe,9/5/2008,Magnolia Pictures,Drama/Musical,R,60641,8446,60642
471,Boogie Man: The Lee Atwater Story,9/26/2008,InterPositive Media,Documentary,Not Rated,60332,8403,60334
472,The Order of Myths,7/25/2008,Cinema Guild,Documentary,Not Rated,59400,8273,59400
473,Roman Polanski: Wanted and Desired,7/11/2008,ThinkFilm,Documentary,Not Rated,59192,8244,59192
474,Meet Bill,4/4/2008,First Look,Comedy,R,59108,8232,59106
475,What We Do Is Secret,8/8/2008,Rhino Theatrical,Drama/Musical,R,58776,8186,58775
476,War Dance,11/9/2007,ThinkFilm,Documentary,PG-13,57525,8012,57526
477,The Secrets,11/26/2008,Monterey Media,Drama/Musical,R,57509,8010,57512
478,Finding Amanda,6/27/2008,Magnolia Pictures,Comedy,R,57297,7980,57296
479,Beautiful Losers,8/8/2008,Sidetrack Films,Documentary,Not Rated,56386,7853,56385
480,Chapter 27,3/28/2008,Vitagraph Films,Drama/Musical,R,56215,7829,56212
481,Roadside Romeo,10/24/2008,Yash Raj Films,Action/Adventure,Not Rated,55202,7688,55200
482,Mother of Tears,6/6/2008,Mitropoulos Films,Horror,Not Rated,54947,7653,54949
483,Human Condition Trilogy,7/18/2008,Janus Films,Drama/Musical,R,54828,7636,54826
484,Holly,11/9/2007,Priority Films,Drama/Musical,R,54817,7635,54819
485,The Violin,12/5/2007,Film Movement,Drama/Musical,Not Rated,54633,7609,54633
486,Sangre de mi sangre,5/14/2008,IFC Films,Drama/Musical,Not Rated,54166,7544,54166
487,A Plumm Summer,4/25/2008,Freestyle Releasing,Action/Adventure,PG,53752,7486,53749
488,La Forza del Destino,4/3/2008,Emerging Pictures,Documentary,Not Rated,52577,7323,52579
489,Dare Not Walk Alone,4/25/2008,Indican Pictures,Documentary,Not Rated,52166,7265,52163
490,Pray the Devil Back to Hell,11/7/2008,Balcony Releasing,Documentary,Not Rated,51886,7226,51883
491,Blue Gap Boy'z,11/7/2008,Better World Distribution,Action/Adventure,Not Rated,51576,7183,51574
492,Shoot Down,1/25/2008,Magic Lamp,Documentary,PG-13,51408,7160,51409
493,Gunnin' for that #1 Spot,6/27/2008,Oscilloscope Pictures,Documentary,PG-13,50804,7076,50806
494,Sukiyaki Western Django,8/29/2008,First Look,Action/Adventure,R,50659,7056,50662
495,Boarding Gate,3/21/2008,Magnet Pictures,Thriller/Suspense,R,50440,7025,50440
496,Tristan und Isolde at La Scala,1/18/2008,The Bigger Picture,Documentary,Not Rated,50172,6988,50174
497,Paris,9/18/2009,Equinox,Comedy,R,49954,6957,49951
498,La Rondine,3/8/2008,The Bigger Picture,Documentary,Not Rated,49088,6837,49090
499,Passage to Zarahemla,10/12/2007,Somerset Films,Action/Adventure,PG-13,47935,6676,47934
500,XXY,5/2/2008,Film Movement,Drama/Musical,Not Rated,46011,6408,46009
501,Undoing,1/4/2008,Indican Pictures,Drama/Musical,R,44999,6267,44997
502,The Babysitters,5/9/2008,Peace Arch Releasing,Drama/Musical,R,44852,6247,44853
503,All Roads Lead Home,9/26/2008,Waldo West Productions,Drama/Musical,PG,43905,6115,43906
504,For the Bible Tells Me So,10/5/2007,First Run Features,Documentary,Not Rated,43505,6059,43504
505,Breakfast with Scot,10/10/2008,Regent Releasing,Drama/Musical,PG-13,43383,6042,43382
506,Moving Midway,9/12/2008,First Run Features,Documentary,Not Rated,40864,5691,40861
507,Loins of Punjab Presents,9/12/2008,Emerging Pictures,Comedy,Not Rated,39891,5556,39892
508,How About You,11/14/2008,Strand,Drama/Musical,Not Rated,39763,5538,39763
509,Refusenik,4/11/2008,Abramorama Films,Documentary,Not Rated,39456,5495,39454
510,Blonde and Blonder,1/18/2008,Empire Pictures,Comedy,PG-13,38848,5411,38851
511,I Can't Think Straight,11/21/2008,Regent Releasing,Comedy,PG-13,38589,5375,38593
512,Rififi,7/21/2000,,Drama ,Not Rated,37469,5219,37472
513,Shotgun Stories,12/14/2007,International Film Circuit,Drama/Musical,PG-13,37116,5169,37113
514,"Surfer, Dude",9/5/2008,Anchor Bay Entertainment,Comedy,R,36497,5083,36496
515,Control,10/10/2007,Weinstein Co.,Drama/Musical,R,35106,4889,35103
516,"Dhamma Brothers, The",4/11/2008,Balcony Releasing,Documentary,Not Rated,34727,4837,34730
517,The Edge of Love,12/31/2008,,Drama/Musical,R,33260,4632,33258
518,Enlighten Up!,9/12/2008,Balcony Releasing,Documentary,Not Rated,33226,4628,33229
519,Kiss the Bride,4/18/2008,Regent Releasing,Comedy,R,32033,4461,32030
520,Hats Off,3/28/2008,Abramorama Films,Documentary,Not Rated,31272,4355,31269
521,Fighting for Life,3/7/2008,Truly Indie,Documentary,Not Rated,30606,4263,30608
522,Dark Matter,4/11/2008,First Independent/Dada Films,Drama/Musical,R,30591,4261,30594
523,Familiar Strangers,11/14/2008,Cavalier Films,Comedy,PG-13,30552,4255,30551
524,The Assassination of Jesse James by the Coward Robert Ford,9/21/2007,Warner Bros.,Drama/Musical,R,30501,4248,30501
525,Jannat,5/16/2008,Shemaroo Entertainment,Drama/Musical,Not Rated,30316,4222,30314
