Rank,Movie,Release_Date,Distributor,Genre,MPAA,Gross_Collection,Tickets_Sold,Inflation_Adjusted_Gross,Tickets_TT,Gross_ML,RT_Rating
76,Body of Lies,39731,Warner Bros.,Thriller/Suspense,R,39315385,5475680,39315382,547.568,39.315385,6.5
77,Lakeview Terrace,39710,Sony/Screen Gems,Thriller/Suspense,PG-13,39263506,5468455,39263507,546.8455,39.263506,5.9
78,Meet the Spartans,39472,20th Century Fox,Comedy,PG-13,38233676,5325025,38233680,532.5025,38.233676,3.7
79,Harold & Kumar Escape from Guantanamo Bay,39563,Warner Bros.,Comedy,R,38108728,5307622,38108726,530.7622,38.108728,6.2
80,Atonement,39423,Focus Features,Drama/Musical,R,37979097,5289568,37979098,528.9568,37.979097,7.4
82,The Secret Life of Bees,39738,Fox Searchlight,Drama/Musical,PG-13,37525311,5226366,37525308,522.6366,37.525311,7.4
84,Death Race,39682,Universal,Action/Adventure,R,36316032,5057943,36316031,505.7943,36.316032,6
85,Changeling,39745,Universal,Thriller/Suspense,R,35707327,4973165,35707325,497.3165,35.707327,7.3
87,Semi-Pro,39507,New Line,Comedy,R,33479698,4662911,33479701,466.2911,33.479698,5.4
88,Fireproof,39717,Samuel Goldwyn Films,Drama/Musical,PG,33256544,4631831,33256547,463.1831,33.256544,7
89,No Country for Old Men,39395,Miramax,Action/Adventure,R,33205061,4624660,33205059,462.466,33.205061,7.7
90,Drillbit Taylor,39528,Paramount Pictures,Comedy,PG-13,32862104,4576895,32862106,457.6895,32.862104,5.5
91,"Definitely, Maybe",39492,Universal,Comedy,PG-13,32241649,4490480,32241646,449.048,32.241649,6.7
92,The Love Guru,39619,Paramount Pictures,Comedy,PG-13,32235793,4489665,32235795,448.9665,32.235793,4.3
94,Quarantine,39731,Sony/Screen Gems,Horror,R,31691811,4413901,31691809,441.3901,31.691811,5.5
95,Nick and Norah's Infinite Playlist,39724,Sony Pictures,Drama/Musical,PG-13,31487293,4385417,31487294,438.5417,31.487293,6.4
96,The Eye,39479,Lionsgate,Thriller/Suspense,PG-13,31418697,4375863,31418696,437.5863,31.418697,5.5
97,Leatherheads,39542,Universal,Comedy,PG-13,31373938,4369629,31373936,436.9629,31.373938,5.7
98,Zack and Miri Make a Porno,39752,Weinstein Co.,Comedy,R,31300810,4359444,31300808,435.9444,31.30081,6.1
99,Mirrors,39675,20th Century Fox,Horror,R,30691439,4274574,30691441,427.4574,30.691439,6
100,Space Chimps,39647,20th Century Fox,Action/Adventure,G,30105968,4193032,30105970,419.3032,30.105968,5.2
101,The Bank Job,39514,Lionsgate,Thriller/Suspense,R,30060660,4186721,30060657,418.6721,30.06066,6.6
102,Untraceable,39472,Sony/Screen Gems,Thriller/Suspense,R,28687835,3995520,28687834,399.552,28.687835,5.9
103,Slumdog Millionaire,39764,Fox Searchlight,Drama/Musical,R,28676598,3993955,28676597,399.3955,28.676598,7.6
104,The Women,39703,Picturehouse,Comedy,PG-13,26902075,3746807,26902074,374.6807,26.902075,4.6
105,One Missed Call,39451,Warner Bros.,Horror,PG-13,26890041,3745131,26890041,374.5131,26.890041,4.7
106,The Other Boleyn Girl,39507,Sony Pictures,Drama/Musical,PG-13,26814957,3734674,26814959,373.4674,26.814957,6.4
107,Street Kings,39549,Fox Searchlight,Thriller/Suspense,R,26418667,3679480,26418666,367.948,26.418667,6.3
108,Shutter,39528,20th Century Fox,Horror,PG-13,25928550,3611219,25928552,361.1219,25.92855,5.3
109,Superhero Movie,39535,MGM,Comedy,PG-13,25874034,3603626,25874035,360.3626,25.874034,4.9
111,W.,39738,Lionsgate,Drama/Musical,PG-13,25534493,3556336,25534492,355.6336,25.534493,6.1
112,Charlie Wilson's War,39437,Universal,Drama/Musical,R,24957785,3476015,24957788,347.6015,24.957785,6.5
113,Never Back Down,39521,Summit Entertainment,Action/Adventure,PG-13,24850922,3461131,24850921,346.1131,24.850922,6.4
115,Vicky Cristina Barcelona,39675,MGM,Comedy,PG-13,22830692,3179762,22830691,317.9762,22.830692,6.7
116,Babylon A.D.,39689,20th Century Fox,Action/Adventure,PG-13,22532572,3138241,22532570,313.8241,22.532572,5.4
119,Mad Money,39465,Overture Films,Comedy,PG-13,20668843,2878669,20668843,287.8669,20.668843,5.9
